customerID,gender,SeniorCitizen,Partner,Dependents,tenure,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00038,Male,0,No,Yes,69,DSL,Month-to-month,Yes,Mailed check,40.45,2836.95,No
CUST-00039,Female,0,No,No,31,Fiber optic,Month-to-month,Yes,Credit card,61.44,1954.39,Yes
CUST-00040,Male,0,No,No,42,Fiber optic,Month-to-month,Yes,Credit card,64.24,2726.91,No
CUST-00041,Female,0,Yes,Yes,66,No,One year,Yes,Credit card,18.57,1245.39,No
CUST-00042,Female,0,Yes,Yes,26,Fiber optic,One year,No,Credit card,97.48,2534.48,No
CUST-00043,Male,0,No,No,60,Fiber optic,One year,Yes,Electronic check,119.66,7209.13,No
CUST-00044,Male,0,Yes,Yes,38,Fiber optic,Month-to-month,Yes,Mailed check,71.93,2764.81,Yes
CUST-00045,Female,1,Yes,Yes,63,No,Month-to-month,Yes,Mailed check,57.6,3691.06,Yes
CUST-00046,Male,0,Yes,No,33,Fiber optic,Month-to-month,No,Bank transfer,58.06,2021.89,Yes
CUST-00047,Female,0,No,No,45,Fiber optic,One year,Yes,Credit card,27.8,1251.0,No
CUST-00048,Female,0,Yes,Yes,23,No,Two year,Yes,Bank transfer,45.15,1038.45,No
CUST-00049,Female,0,No,No,45,DSL,Month-to-month,No,Bank transfer,69.22,3114.9,Yes
CUST-00050,Female,0,Yes,No,23,No,One year,No,Credit card,62.05,1435.78,No
CUST-00051,Male,0,No,No,43,DSL,Month-to-month,Yes,Electronic check,73.59,3165.04,Yes
CUST-00052,Male,0,Yes,No,56,Fiber optic,Month-to-month,No,Bank transfer,104.6,5857.6,Yes
CUST-00053,Male,0,Yes,Yes,31,Fiber optic,Month-to-month,Yes,Bank transfer,40.97,1321.45,Yes
CUST-00054,Male,0,Yes,Yes,30,Fiber optic,Month-to-month,Yes,Electronic check,20.82,624.6,Yes
CUST-00055,Male,0,Yes,Yes,23,Fiber optic,One year,No,Bank transfer,21.9,503.7,No
CUST-00056,Female,1,No,Yes,52,Fiber optic,Two year,Yes,Credit card,31.69,1647.88,No
CUST-00057,Male,0,Yes,No,42,DSL,Month-to-month,No,Credit card,76.19,3199.98,Yes
CUST-00058,Female,0,No,No,37,DSL,Month-to-month,Yes,Credit card,100.43,3715.91,Yes
CUST-00059,Female,1,No,No,1,DSL,One year,No,Credit card,108.45,108.45,No
CUST-00060,Female,0,Yes,Yes,7,Fiber optic,Two year,Yes,Mailed check,82.78,579.46,Yes
CUST-00061,Female,0,Yes,Yes,0,Fiber optic,One year,No,Electronic check,59.12,0.0,No
CUST-00062,Male,1,No,Yes,61,DSL,Month-to-month,No,Credit card,33.76,2103.05,No
CUST-00063,Female,0,No,No,61,No,One year,No,Mailed check,58.94,3595.34,No
CUST-00064,Male,1,No,Yes,4,Fiber optic,Month-to-month,Yes,Bank transfer,51.91,260.77,Yes
CUST-00065,Male,0,No,No,3,Fiber optic,Two year,No,Electronic check,106.74,320.22,Yes
CUST-00066,Female,0,No,No,56,Fiber optic,Month-to-month,Yes,Credit card,67.65,3788.4,Yes
CUST-00067,Male,0,Yes,Yes,37,DSL,One year,No,Credit card,41.07,1519.59,No
CUST-00068,Male,0,No,No,22,Fiber optic,Month-to-month,No,Credit card,47.46,1044.12,Yes
CUST-00069,Male,1,Yes,No,44,Fiber optic,Month-to-month,Yes,Electronic check,31.92,1440.09,Yes
CUST-00070,Female,1,No,No,17,DSL,Two year,Yes,Credit card,111.7,1898.9,Yes
CUST-00071,Male,0,Yes,Yes,14,No,One year,No,Bank transfer,23.14,349.88,No
CUST-00072,Male,0,Yes,Yes,26,No,Month-to-month,No,Electronic check,19.31,502.06,Yes
CUST-00073,Male,0,No,Yes,64,Fiber optic,Two year,Yes,Bank transfer,36.66,2384.19,No
CUST-00074,Female,0,No,No,55,No,Two year,Yes,Mailed check,100.71,5539.05,No
CUST-00075,Male,1,No,No,13,No,Month-to-month,Yes,Bank transfer,71.39,970.65,Yes
CUST-00076,Male,0,No,Yes,40,DSL,Month-to-month,No,Electronic check,81.84,3276.65,No
CUST-00077,Male,0,Yes,Yes,63,Fiber optic,Month-to-month,Yes,Bank transfer,54.49,3508.92,No
CUST-00078,Female,1,Yes,No,68,Fiber optic,One year,No,Bank transfer,25.01,1700.68,No
CUST-00079,Female,0,No,No,54,DSL,Month-to-month,Yes,Bank transfer,105.33,5687.82,No
CUST-00080,Female,0,Yes,No,9,DSL,Month-to-month,No,Credit card,37.57,338.13,No
CUST-00081,Male,0,Yes,No,17,DSL,Two year,Yes,Bank transfer,21.37,363.29,Yes
CUST-00082,Male,0,No,No,15,Fiber optic,Two year,Yes,Bank transfer,76.42,1146.3,Yes
CUST-00083,Female,0,Yes,No,10,Fiber optic,Two year,No,Electronic check,26.5,296.08,No
CUST-00084,Female,0,Yes,No,12,Fiber optic,Two year,No,Credit card,27.77,333.24,No
CUST-00085,Female,0,No,Yes,22,DSL,One year,Yes,Mailed check,99.64,2192.08,No
CUST-00086,Male,0,Yes,Yes,39,DSL,One year,Yes,Bank transfer,68.14,2657.46,No
CUST-00087,Male,0,No,Yes,28,Fiber optic,One year,Yes,Bank transfer,42.63,1193.64,No
CUST-00088,Female,0,Yes,No,30,Fiber optic,Month-to-month,No,Credit card,53.56,1689.32,Yes
CUST-00089,Female,1,Yes,Yes,17,No,Month-to-month,Yes,Mailed check,92.38,1570.46,Yes
CUST-00090,Male,0,Yes,No,10,No,Month-to-month,No,Mailed check,24.77,247.7,No
CUST-00091,Female,0,No,No,71,No,One year,Yes,Credit card,29.88,2161.28,No
CUST-00092,Female,1,No,Yes,43,No,Month-to-month,No,Bank transfer,80.86,3476.98,No
CUST-00093,Male,0,No,Yes,16,No,Month-to-month,No,Mailed check,79.91,1380.5,Yes
CUST-00094,Female,0,Yes,Yes,58,Fiber optic,One year,Yes,Mailed check,117.19,6797.02,No
CUST-00095,Male,1,No,No,59,DSL,Month-to-month,Yes,Credit card,56.2,3358.1,Yes
CUST-00096,Male,0,Yes,Yes,69,DSL,Month-to-month,No,Credit card,24.64,1754.27,Yes
CUST-00097,Female,0,No,Yes,11,Fiber optic,Two year,Yes,Electronic check,72.83,801.13,Yes
CUST-00098,Female,0,No,Yes,46,DSL,Two year,Yes,Mailed check,83.11,3823.06,No
CUST-00099,Male,0,Yes,Yes,70,DSL,Month-to-month,Yes,Credit card,32.24,2293.87,No
CUST-00100,Female,0,Yes,No,58,No,Month-to-month,Yes,Electronic check,74.39,4343.36,Yes
CUST-00101,Male,0,Yes,No,16,DSL,Month-to-month,Yes,Electronic check,38.17,610.72,No
CUST-00102,Female,0,No,Yes,64,No,One year,Yes,Electronic check,104.16,6666.24,No
CUST-00103,Male,0,No,No,30,Fiber optic,Two year,Yes,Bank transfer,103.19,3095.7,No
CUST-00104,Female,0,Yes,No,35,Fiber optic,Month-to-month,Yes,Mailed check,61.82,2193.47,Yes
CUST-00105,Female,0,No,Yes,40,Fiber optic,One year,Yes,Mailed check,116.61,4664.4,Yes
CUST-00106,Female,0,No,Yes,55,DSL,Month-to-month,Yes,Electronic check,117.94,6486.7,No
CUST-00107,Female,1,Yes,No,8,Fiber optic,Month-to-month,No,Bank transfer,31.18,249.44,Yes
CUST-00108,Male,0,No,No,38,DSL,Two year,Yes,Credit card,55.51,2109.38,No
CUST-00109,Female,0,Yes,Yes,58,No,Month-to-month,No,Electronic check,79.23,4595.34,No
CUST-00110,Male,0,Yes,Yes,39,DSL,Month-to-month,No,Bank transfer,26.65,1039.35,Yes
CUST-00111,Female,0,Yes,No,19,DSL,Month-to-month,No,Credit card,57.03,1089.46,Yes
CUST-00112,Female,0,Yes,No,4,Fiber optic,One year,No,Bank transfer,44.64,207.73,Yes
CUST-00113,Male,1,Yes,Yes,39,Fiber optic,Two year,Yes,Bank transfer,115.11,4602.77,Yes
CUST-00114,Female,0,Yes,Yes,50,Fiber optic,Two year,No,Electronic check,59.98,2999.0,No
CUST-00115,Female,0,Yes,No,39,Fiber optic,Month-to-month,Yes,Credit card,95.79,3791.58,Yes
CUST-00116,Male,0,No,Yes,70,DSL,Month-to-month,Yes,Credit card,57.44,4020.8,No
CUST-00117,Male,0,Yes,Yes,43,Fiber optic,One year,No,Bank transfer,31.44,1351.92,No
CUST-00118,Male,0,No,No,36,DSL,Month-to-month,Yes,Credit card,106.04,3817.44,Yes
CUST-00119,Male,0,Yes,Yes,3,DSL,Two year,Yes,Bank transfer,18.04,54.12,No
CUST-00120,Male,0,Yes,No,40,DSL,One year,No,Bank transfer,23.71,949.13,No
CUST-00121,Female,0,No,No,12,DSL,Month-to-month,No,Credit card,55.17,662.04,Yes
CUST-00122,Female,0,Yes,Yes,52,DSL,Two year,No,Electronic check,88.06,4579.12,No
CUST-00123,Male,0,No,Yes,11,Fiber optic,Month-to-month,No,Electronic check,52.85,668.15,No
CUST-00124,Female,0,No,No,65,DSL,Month-to-month,No,Electronic check,24.76,1609.4,No
CUST-00125,Female,0,Yes,Yes,21,DSL,One year,Yes,Bank transfer,50.42,1058.82,No
CUST-00126,Male,0,No,No,31,Fiber optic,Month-to-month,Yes,Electronic check,42.99,1377.6,Yes
CUST-00127,Female,1,Yes,Yes,10,DSL,One year,Yes,Mailed check,18.55,185.5,No
CUST-00128,Female,1,No,No,15,Fiber optic,One year,Yes,Mailed check,72.55,1142.76,No
CUST-00129,Female,0,Yes,Yes,66,No,Two year,No,Bank transfer,29.9,1973.4,No
CUST-00130,Female,1,Yes,Yes,20,Fiber optic,Two year,No,Bank transfer,47.32,946.4,No
CUST-00131,Female,0,No,No,36,No,Month-to-month,No,Electronic check,83.4,3019.64,Yes
CUST-00132,Male,0,Yes,Yes,70,DSL,Month-to-month,No,Bank transfer,91.96,6466.86,Yes
CUST-00133,Female,0,No,Yes,44,DSL,One year,No,Mailed check,44.87,2012.7,Yes
CUST-00134,Female,1,No,No,2,Fiber optic,Two year,Yes,Electronic check,51.58,103.16,Yes
CUST-00135,Male,0,No,No,25,Fiber optic,Month-to-month,Yes,Bank transfer,43.18,1105.93,Yes
CUST-00136,Female,0,Yes,Yes,27,No,Month-to-month,Yes,Mailed check,115.6,3158.48,Yes
CUST-00137,Male,0,No,No,19,DSL,Month-to-month,No,Mailed check,37.43,721.2,Yes
CUST-00138,Male,0,Yes,Yes,17,Fiber optic,Month-to-month,No,Credit card,36.68,623.56,Yes
CUST-00139,Male,0,Yes,Yes,36,Fiber optic,One year,Yes,Electronic check,63.39,2282.04,No
CUST-00140,Female,0,Yes,Yes,27,DSL,Month-to-month,Yes,Credit card,37.31,1037.33,No
CUST-00141,Male,0,Yes,No,21,DSL,One year,Yes,Mailed check,33.98,715.69,No
CUST-00142,Male,1,Yes,No,29,No,Two year,Yes,Credit card,27.78,805.62,No
CUST-00143,Male,0,Yes,Yes,24,DSL,Two year,No,Credit card,83.3,2063.09,No
CUST-00144,Female,0,No,No,16,No,Month-to-month,No,Credit card,80.43,1286.88,No
CUST-00145,Female,0,Yes,Yes,32,Fiber optic,Month-to-month,No,Electronic check,84.32,2780.44,Yes
CUST-00146,Male,0,Yes,Yes,67,Fiber optic,One year,Yes,Credit card,96.88,6490.96,Yes
CUST-00147,Male,0,Yes,Yes,36,Fiber optic,Two year,Yes,Mailed check,51.29,1862.32,Yes
CUST-00148,Female,0,No,No,43,No,Month-to-month,No,Credit card,111.68,4802.24,No
CUST-00149,Male,0,No,Yes,70,DSL,Two year,Yes,Credit card,92.79,6495.3,No
CUST-00150,Female,0,Yes,No,44,DSL,Month-to-month,Yes,Bank transfer,100.08,4403.52,Yes
CUST-00151,Male,0,Yes,Yes,16,Fiber optic,Two year,Yes,Credit card,91.54,1481.38,No
CUST-00152,Female,1,No,No,28,Fiber optic,Month-to-month,Yes,Bank transfer,54.56,1561.49,Yes
CUST-00153,Male,0,No,Yes,35,DSL,Month-to-month,Yes,Electronic check,46.87,1640.45,No
CUST-00154,Male,0,No,Yes,34,DSL,Month-to-month,Yes,Credit card,61.1,2077.4,Yes
CUST-00155,Female,0,Yes,No,10,DSL,Month-to-month,Yes,Bank transfer,27.9,279.0,Yes
CUST-00156,Male,0,Yes,No,7,DSL,Month-to-month,No,Electronic check,64.03,550.81,Yes
CUST-00157,Female,1,Yes,No,25,DSL,Month-to-month,No,Electronic check,22.4,560.0,Yes
CUST-00158,Female,0,Yes,Yes,65,No,Month-to-month,No,Bank transfer,18.4,1267.35,No
CUST-00159,Female,0,No,No,51,DSL,One year,Yes,Credit card,113.01,5763.51,No
CUST-00160,Female,0,No,Yes,60,No,Month-to-month,No,Bank transfer,88.31,5298.6,No
CUST-00161,Female,0,Yes,No,12,No,One year,No,Mailed check,75.31,934.98,No
CUST-00162,Male,0,No,No,29,DSL,Two year,Yes,Mailed check,52.79,1530.91,No
CUST-00163,Male,0,Yes,No,41,Fiber optic,Month-to-month,Yes,Mailed check,76.19,3203.4,Yes
CUST-00164,Male,0,No,No,31,Fiber optic,Month-to-month,No,Mailed check,108.94,3380.93,Yes
CUST-00165,Female,0,Yes,Yes,30,Fiber optic,Two year,Yes,Mailed check,84.54,2559.24,No
CUST-00166,Male,0,No,Yes,25,DSL,Two year,Yes,Electronic check,79.45,1986.25,No
CUST-00167,Male,0,No,No,3,DSL,Month-to-month,Yes,Bank transfer,64.94,227.76,Yes
CUST-00168,Male,0,Yes,Yes,61,DSL,Two year,Yes,Electronic check,53.26,3327.8,No
CUST-00169,Male,0,Yes,Yes,67,Fiber optic,Month-to-month,Yes,Electronic check,89.25,5979.75,Yes
CUST-00170,Male,0,No,No,5,No,Month-to-month,Yes,Mailed check,118.06,676.79,Yes
CUST-00171,Male,0,No,No,29,Fiber optic,One year,No,Credit card,61.33,1778.57,No
CUST-00172,Female,0,Yes,No,37,Fiber optic,Month-to-month,Yes,Bank transfer,58.0,2184.2,Yes
CUST-00173,Female,0,No,No,56,No,One year,No,Mailed check,61.67,3477.98,No
CUST-00174,Female,0,Yes,No,71,Fiber optic,Month-to-month,Yes,Bank transfer,61.41,4360.11,Yes
CUST-00175,Male,0,No,Yes,29,DSL,One year,No,Bank transfer,119.04,3462.85,No
CUST-00176,Female,0,No,No,53,No,Month-to-month,No,Mailed check,90.09,4775.14,Yes
CUST-00177,Male,0,Yes,No,67,Fiber optic,Month-to-month,Yes,Credit card,54.64,3660.88,Yes
CUST-00178,Female,0,Yes,No,59,DSL,Month-to-month,Yes,Bank transfer,55.89,3315.41,No
CUST-00179,Female,0,No,No,20,Fiber optic,Month-to-month,No,Electronic check,61.94,1246.11,Yes
CUST-00180,Female,0,No,Yes,58,No,One year,Yes,Credit card,21.74,1260.92,No
CUST-00181,Male,0,Yes,No,29,DSL,Month-to-month,No,Electronic check,71.84,2083.36,Yes
CUST-00182,Male,0,No,No,1,Fiber optic,Month-to-month,Yes,Electronic check,100.76,100.76,Yes
CUST-00183,Female,0,No,Yes,54,DSL,Month-to-month,Yes,Mailed check,85.38,4610.52,Yes
CUST-00184,Male,0,Yes,No,60,DSL,Month-to-month,Yes,Mailed check,38.24,2301.39,No
CUST-00185,Male,0,No,No,24,DSL,Two year,No,Credit card,92.26,2214.24,No
CUST-00186,Male,0,Yes,Yes,32,Fiber optic,Month-to-month,Yes,Bank transfer,91.38,3057.0,Yes
CUST-00187,Male,0,Yes,No,26,No,Two year,No,Electronic check,44.78,1164.28,No
CUST-00188,Male,0,Yes,Yes,8,DSL,Month-to-month,Yes,Mailed check,81.53,652.24,Yes
CUST-00189,Male,0,Yes,Yes,71,DSL,One year,No,Credit card,80.32,5702.72,No
CUST-00190,Female,0,Yes,No,1,DSL,Month-to-month,No,Bank transfer,103.66,205.68,Yes
CUST-00191,Female,0,No,No,40,DSL,Month-to-month,No,Bank transfer,31.88,1275.2,No
CUST-00192,Female,0,Yes,Yes,1,Fiber optic,Two year,Yes,Bank transfer,37.87,59.17,No
CUST-00193,Male,0,No,Yes,49,Fiber optic,Two year,No,Bank transfer,67.57,3323.35,No
CUST-00194,Female,0,Yes,No,64,Fiber optic,Two year,No,Electronic check,22.5,1456.68,No
CUST-00195,Male,0,No,No,46,Fiber optic,Month-to-month,Yes,Bank transfer,60.39,2839.76,Yes
CUST-00196,Male,0,No,Yes,43,Fiber optic,Month-to-month,Yes,Bank transfer,98.4,4291.99,Yes
CUST-00197,Male,0,Yes,Yes,59,DSL,One year,No,Electronic check,33.17,1957.03,No
CUST-00198,Male,0,Yes,Yes,70,DSL,Month-to-month,Yes,Bank transfer,64.91,4553.4,No
CUST-00199,Female,0,No,Yes,62,No,One year,No,Electronic check,118.96,7375.52,No
CUST-00200,Male,0,Yes,Yes,16,Fiber optic,One year,Yes,Electronic check,69.6,1118.55,Yes
CUST-00201,Female,0,No,Yes,40,No,One year,Yes,Credit card,68.83,2753.2,No
CUST-00202,Male,0,No,No,58,No,Two year,No,Mailed check,75.0,4350.0,No
CUST-00203,Female,0,No,No,21,Fiber optic,One year,No,Mailed check,36.97,776.37,No
CUST-00204,Male,0,Yes,Yes,48,No,Month-to-month,Yes,Bank transfer,33.01,1604.72,No
CUST-00205,Male,0,Yes,No,1,Fiber optic,Month-to-month,No,Bank transfer,87.09,87.09,Yes
CUST-00206,Female,0,No,No,63,DSL,One year,Yes,Bank transfer,58.37,3684.72,No
CUST-00207,Female,0,No,Yes,44,DSL,Month-to-month,Yes,Credit card,47.57,2093.08,Yes
CUST-00208,Male,0,No,No,53,DSL,Month-to-month,No,Bank transfer,21.2,1123.6,No
CUST-00209,Female,0,No,Yes,59,DSL,Month-to-month,No,Electronic check,104.3,6211.44,No
CUST-00210,Male,0,Yes,No,15,Fiber optic,One year,Yes,Electronic check,21.3,348.9,Yes
CUST-00211,Female,1,Yes,No,32,Fiber optic,Two year,No,Mailed check,94.5,3081.46,Yes
CUST-00212,Female,0,No,No,61,Fiber optic,One year,Yes,Mailed check,56.96,3552.55,No
CUST-00213,Male,1,Yes,Yes,11,Fiber optic,Month-to-month,No,Mailed check,79.07,869.77,Yes
CUST-00214,Female,1,No,No,59,DSL,Month-to-month,No,Electronic check,43.26,2627.29,Yes
CUST-00215,Male,0,Yes,Yes,20,Fiber optic,Month-to-month,No,Electronic check,33.85,677.0,Yes
CUST-00216,Male,0,Yes,Yes,41,Fiber optic,Month-to-month,Yes,Electronic check,72.41,3006.12,Yes
CUST-00217,Male,0,Yes,No,36,DSL,One year,Yes,Credit card,88.95,3202.2,No
CUST-00218,Male,1,No,Yes,49,DSL,One year,Yes,Mailed check,37.94,1859.06,No
CUST-00219,Female,0,No,Yes,60,DSL,Month-to-month,No,Credit card,62.51,3781.32,No
CUST-00220,Male,0,No,No,25,DSL,Month-to-month,No,Mailed check,63.35,1631.0,Yes
CUST-00221,Male,1,Yes,No,12,No,Month-to-month,No,Mailed check,40.03,526.12,No
CUST-00222,Female,0,Yes,Yes,30,Fiber optic,Two year,Yes,Mailed check,75.64,2279.94,No
CUST-00223,Male,1,No,Yes,44,Fiber optic,One year,No,Credit card,32.89,1453.76,No
CUST-00224,Female,0,No,Yes,54,DSL,Month-to-month,No,Bank transfer,69.99,3805.8,Yes
CUST-00225,Male,0,Yes,No,54,No,Two year,Yes,Electronic check,29.57,1611.97,No
CUST-00226,Female,0,Yes,Yes,24,Fiber optic,Month-to-month,Yes,Mailed check,67.53,1647.79,Yes
CUST-00227,Female,0,No,No,67,DSL,Month-to-month,Yes,Credit card,49.78,3345.46,No
CUST-00228,Female,0,Yes,Yes,5,Fiber optic,Two year,Yes,Electronic check,64.13,362.79,No
CUST-00229,Male,0,No,Yes,8,Fiber optic,Month-to-month,No,Credit card,62.24,497.92,Yes
CUST-00230,Male,0,Yes,Yes,1,Fiber optic,Month-to-month,No,Credit card,110.61,110.61,Yes
CUST-00231,Female,0,No,No,66,DSL,One year,Yes,Electronic check,67.97,4486.02,No
CUST-00232,Male,0,No,Yes,12,Fiber optic,Month-to-month,No,Bank transfer,101.49,1231.72,Yes
CUST-00233,Female,1,No,No,43,DSL,One year,Yes,Bank transfer,41.02,1845.96,No
CUST-00234,Male,0,No,Yes,58,DSL,Month-to-month,No,Credit card,53.91,3126.78,Yes
CUST-00235,Female,0,Yes,No,55,DSL,Month-to-month,No,Credit card,25.66,1417.66,No
CUST-00236,Female,0,Yes,Yes,68,No,Month-to-month,No,Electronic check,60.92,4180.38,No
CUST-00237,Male,0,No,Yes,3,DSL,Month-to-month,No,Mailed check,86.21,258.63,Yes
CUST-00238,Male,0,Yes,Yes,29,Fiber optic,Month-to-month,No,Credit card,103.49,3001.21,Yes
CUST-00239,Female,0,No,Yes,36,DSL,Month-to-month,No,Mailed check,75.72,2744.15,No
CUST-00240,Male,0,No,Yes,50,No,Two year,Yes,Electronic check,83.29,4164.5,No
CUST-00241,Female,1,Yes,No,44,Fiber optic,Month-to-month,No,Bank transfer,36.08,1587.52,No
CUST-00242,Male,0,Yes,No,40,No,Month-to-month,No,Electronic check,21.8,927.04,Yes
CUST-00243,Female,1,No,Yes,22,DSL,Month-to-month,No,Electronic check,98.75,2222.65,Yes
CUST-00244,Female,0,Yes,Yes,7,DSL,Month-to-month,Yes,Credit card,35.04,264.0,No
CUST-00245,Male,1,Yes,Yes,31,Fiber optic,Month-to-month,Yes,Electronic check,27.3,890.41,Yes
CUST-00246,Female,0,Yes,No,18,DSL,One year,No,Credit card,113.63,2056.1,No
CUST-00247,Male,0,No,Yes,39,No,Month-to-month,No,Electronic check,116.28,4562.69,No
CUST-00248,Female,1,No,Yes,57,No,Two year,No,Electronic check,80.86,4609.02,No
CUST-00249,Male,1,Yes,No,39,Fiber optic,Two year,No,Bank transfer,56.62,2213.97,No
CUST-00250,Male,0,No,Yes,41,No,Month-to-month,No,Electronic check,102.99,4222.59,Yes
CUST-00251,Male,0,No,Yes,3,Fiber optic,Month-to-month,No,Mailed check,38.88,179.81,Yes
CUST-00252,Male,0,Yes,Yes,46,DSL,Month-to-month,No,Mailed check,61.8,2918.88,Yes
CUST-00253,Male,0,Yes,Yes,31,Fiber optic,One year,Yes,Bank transfer,54.42,1756.02,No
CUST-00254,Female,1,Yes,Yes,8,DSL,Month-to-month,No,Mailed check,111.1,888.8,Yes
CUST-00255,Male,0,Yes,No,15,No,Two year,Yes,Electronic check,111.82,1677.3,No
CUST-00256,Female,0,Yes,No,56,DSL,One year,No,Electronic check,84.39,4789.69,No
CUST-00257,Male,0,Yes,Yes,66,DSL,Two year,No,Electronic check,29.3,1961.0,No
CUST-00258,Male,0,No,No,36,Fiber optic,Month-to-month,No,Electronic check,67.18,2434.91,Yes
CUST-00259,Female,0,No,Yes,70,DSL,Two year,No,Bank transfer,43.02,3011.4,No
CUST-00260,Female,0,No,Yes,12,DSL,Month-to-month,Yes,Mailed check,108.26,1320.4,No
CUST-00261,Male,1,Yes,Yes,21,Fiber optic,Month-to-month,No,Electronic check,32.12,674.52,No
CUST-00262,Male,0,Yes,No,66,DSL,Month-to-month,No,Mailed check,23.54,1585.34,Yes
CUST-00263,Female,0,No,Yes,12,Fiber optic,Two year,No,Bank transfer,89.85,1147.14,Yes
CUST-00264,Female,0,Yes,No,47,DSL,One year,Yes,Mailed check,64.24,3100.83,No
CUST-00265,Female,0,No,No,15,DSL,Two year,No,Mailed check,103.51,1588.08,No
CUST-00266,Male,1,No,Yes,23,DSL,Month-to-month,Yes,Bank transfer,25.61,589.03,Yes
CUST-00267,Male,0,No,Yes,34,Fiber optic,Two year,Yes,Bank transfer,99.71,3400.01,Yes
CUST-00268,Female,0,Yes,Yes,25,No,Month-to-month,No,Bank transfer,21.81,652.23,Yes
CUST-00269,Female,0,Yes,No,62,DSL,Month-to-month,No,Mailed check,20.86,1293.32,No
CUST-00270,Male,0,Yes,Yes,70,No,Two year,No,Mailed check,65.05,4553.5,No
